epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.627,1.76628,3.70595,2.13554,0.58549,0.50887,0.53558,0.22689,2.12827,4.98558,2.82522,0.000661247,0.000661247,0.000661247
2,359.135,1.7377,2.96382,2.00174,0.48396,0.56,0.5051,0.23553,1.9906,5.04975,2.62317,0.00126218,0.00126218,0.00126218
3,521.291,1.75533,2.86477,1.99833,0.54516,0.28,0.34867,0.12381,2.61743,6.28868,3.23134,0.00179712,0.00179712,0.00179712
4,681.97,1.72331,3.08542,1.93614,0.77835,0.70276,0.7948,0.40171,1.96821,4.10072,2.4162,0.001703,0.001703,0.001703
5,842.935,1.72959,2.66676,1.96876,0.51953,0.8,0.75113,0.35853,2.10373,11.2818,3.03211,0.001604,0.001604,0.001604
6,1003.45,1.76597,2.37493,1.99473,0.71878,0.81827,0.7728,0.37714,1.80805,2.98849,2.37601,0.001505,0.001505,0.001505
7,1164.07,1.62724,2.586,1.86256,0.94713,0.7167,0.8125,0.40807,1.83299,3.06456,2.38421,0.001406,0.001406,0.001406
8,1323.48,1.67365,2.18318,1.83033,0.9431,0.68,0.75892,0.34844,2.05492,2.58954,2.43633,0.001307,0.001307,0.001307
9,1483.79,1.63907,2.09245,1.82956,0.85458,0.94064,0.94887,0.44989,1.84335,2.53184,2.32499,0.001208,0.001208,0.001208
10,1644.46,1.638,1.89347,1.8001,0.94017,0.8,0.86554,0.48073,1.86999,2.24707,2.42361,0.001109,0.001109,0.001109
11,1802.45,1.5707,2.00689,1.84998,0.94928,0.74905,0.84715,0.4564,1.78801,2.33418,2.32236,0.00101,0.00101,0.00101
12,1962.43,1.56025,1.88081,1.84657,0.90615,0.8,0.91828,0.47308,1.87969,2.06339,2.4176,0.000911,0.000911,0.000911
13,2120.61,1.42026,1.81319,1.71962,0.87487,0.84,0.88915,0.46291,1.89531,1.94266,2.38216,0.000812,0.000812,0.000812
14,2279.42,1.35863,1.53939,1.70276,0.93962,0.92,0.90915,0.511,1.87535,1.90085,2.48128,0.000713,0.000713,0.000713
15,2439.07,1.4032,1.55541,1.68999,0.95415,0.83274,0.87411,0.50832,1.91975,1.8173,2.54084,0.000614,0.000614,0.000614
16,2597.32,1.41136,1.42112,1.70457,0.95594,0.86823,0.89426,0.47043,1.88798,1.68736,2.44862,0.000515,0.000515,0.000515
17,2755.72,1.36272,1.38413,1.6447,0.91657,0.96,0.94288,0.50547,1.89719,1.61155,2.47891,0.000416,0.000416,0.000416
18,2912.99,1.32623,1.3575,1.64281,0.9579,0.91039,0.90625,0.50709,1.90283,1.58235,2.44274,0.000317,0.000317,0.000317
19,3071.39,1.34489,1.31964,1.70288,0.88753,0.94731,0.94055,0.48247,1.91771,1.57298,2.44832,0.000218,0.000218,0.000218
20,3230.22,1.32026,1.27547,1.60169,0.83787,0.92,0.89788,0.48917,1.91358,1.58002,2.41126,0.000119,0.000119,0.000119
